"","sub","hemi","AssessmentAge","aalf","central","ds","half","ifs","imfs-h","imfs-v","iprs","lfms","pimfs","pmfs-a","pmfs-i","pmfs-p","prts","sfs-a","sfs-p","sprs","ts"
"1","n002t2","rh",11.35,0.249588519,0.199692309,0.034582034,0.135351911,0.283225864,0.144993976,-0.036453385,0.289277434,-0.10502702,0.030513078,0.199946806,-0.091510251,-0.18052043,-0.044220589,0.264738023,0.230502903,0.280017316,-0.04494828
"2","n004t2","rh",17.07,0.021632129,0.233273923,-0.096594013,0.148664623,0.147156939,0.238285959,0.18164745,0.263747305,-0.269169569,0.037867282,0.185809895,0.326217622,-0.025762085,-0.201647878,0.188824311,0.242705181,0.232026294,-0.20592697
"3","n009t3","rh",18.43,0.187204018,0.256822288,0.093532935,0.081848577,0.151246548,0.148293614,0.234420583,0.239268139,-0.128316775,0.252136916,0.396280825,0.343249887,0.037677988,-0.301891923,0.186163366,0.243961617,0.259027839,0.112304606
"4","n013t2","rh",7.88,0.130117565,0.201656565,-0.088692203,0.050754059,0.180208027,0.282158226,0.226562187,0.303428859,-0.344442457,-0.344510525,0.032824434,-0.140079945,0.201260939,-0.182357311,0.166076511,0.224349603,0.288127035,-0.336316288
"5","n016t2","rh",14.72,0.232193485,0.280105263,-0.147674888,0.02898041,0.258517265,0.106081605,0.235114217,0.231328964,-0.041838109,0.061611012,-0.016577631,0.14934364,0.048561767,0.219570711,0.245349899,0.217877746,0.327894419,-0.341684103
"6","n018t2","rh",8.07,0.008798742,0.186016396,0.080522642,0.150438413,0.167346373,0.041091044,0.087869622,0.230057359,-0.218813583,0.240788266,0.196293682,0.172425792,-0.333593696,-0.186348021,0.131772697,0.2138751,0.333664626,-0.004090664
"7","n021t2","rh",18.1,0.166630134,0.201864809,0.092607416,0.141743213,0.26000753,0.173548788,0.227695331,0.225867525,-0.217874721,-0.007039074,0.204789877,0.137208983,0.147411406,0.102565899,0.104055569,0.195521876,0.268972337,-0.176529139
"8","n022t2","rh",9.68,0.252585858,0.240875974,0.142560899,0.032485556,0.248539448,0.121610932,-0.062458772,0.237046242,-0.305442005,-0.035404176,0.096013218,0.165722564,-0.08175306,-0.143430039,0.191981122,0.231678352,0.240209639,-0.090478681
"9","n028t3","rh",15.96,0.528535843,0.201385781,0.08219254,0.262900025,0.175033554,0.232558206,0.163313389,0.274967402,-0.090819113,0.133909941,0.275800943,0.238742426,-0.251641423,0.065124676,0.081663035,0.207119986,0.269974381,0.061673429
"10","n029t2","rh",15.76,0.133253872,0.193930626,-0.00260289,0.090693906,0.201714113,0.27117312,0.104940236,0.272498071,-0.275944471,-0.003576071,0.322485149,0.110606126,0.029994925,-0.177141741,0.143172741,0.326268226,0.27004692,-0.019601913
"11","n030t2","rh",8.56,0.004636841,0.21488145,-0.020323575,0.05782605,0.261015594,0.199411541,0.255210847,0.24619022,0.195211038,0.208877727,-0.224787042,0.044811435,-0.25872606,-0.056497574,0.27795431,0.20734483,0.242761761,-0.118730195
"12","n032t2","rh",8.97,-0.026000034,0.197912678,-0.116056964,-0.050912891,0.366528809,0.326246798,0.121670298,0.18835412,-0.16366449,0.071118735,-0.039665941,-0.224909022,0.239547238,-0.058777574,0.244549751,0.269963026,0.199831203,0.009610188
"13","n033t2","rh",10.88,0.193005428,0.207982659,-0.172323912,0.005609042,0.255892366,0.333327055,0.167666614,0.253731579,-0.187649146,0.158634573,0.067682721,-0.117529243,-0.094600588,-0.013690951,0.132671863,0.3064982,0.235900849,0.077154279
"14","n035t2","rh",10,0.093281768,0.220482916,-0.284726679,0.076655865,0.132020697,0.163340479,0.16385375,0.303663731,-0.200278729,-0.105019256,0.172631964,-0.269080639,0.020847844,-0.331918776,0.28032127,0.274107099,0.263860255,0.064165279
"15","n036t2","rh",15.3,0.225636587,0.21208024,0.012687231,0.021208389,0.319837093,0.215880319,0.22721231,0.247250378,-0.281256795,0.154142231,-0.319206208,-0.006971444,-0.114000954,-0.091231108,0.220594376,0.328163922,0.270760864,-0.130542487
"16","n039t2","rh",15.39,0.112291567,0.216423362,-0.148649588,0.080124453,0.17056258,0.215239853,0.088257603,0.271894425,-0.265668422,0.00400889,0.13315694,-0.178639874,-0.06668485,0.075784057,0.274389356,0.266635925,0.267089128,0.187859073
"17","n041t2","rh",14.61,0.120418519,0.20660302,-0.151423112,0.103162363,0.203052253,0.175656557,0.251846611,0.280625314,-0.061425906,-0.173394069,-0.148119658,-0.143053025,-0.386446983,0.099008821,0.267934412,0.276000887,0.19426775,-0.068085961
"18","n044t2","rh",11.41,0.214218006,0.215665445,0.047208473,0.11012736,0.239630267,0.22400865,0.013198737,0.26137045,-0.054106243,0.065716788,0.005625986,0.073482938,0.006105805,0.118415877,0.24728936,0.358009219,0.252160579,-0.113316603
"19","n050t2","rh",11.51,0.178362086,0.222716331,0.080541402,-0.20241189,0.221911356,0.197961524,0.312954515,0.261021495,-0.140036017,-0.000669171,-0.179386348,-0.145859033,-0.304177493,0.074534006,0.287555873,0.20098184,0.28499347,-0.420660675
"20","n055t2","rh",12.87,0.036717329,0.220702767,-0.249770477,0.16149345,0.23337771,0.199141338,-0.053026624,0.227933928,-0.174263567,0.089809261,-0.144018516,-0.083230115,0.256153435,-0.008590982,0.325123072,0.227602243,0.173559979,-0.075671978
